Date,Open,High,Low,Close,Adjusted_close,Volume,SMA5,SMA21,SMA50,MACD,MACDS,RSI,ATRts,ATRts1,Gap,Price_Retrace,Macd_Retrace
2010-03-12,227.37,227.73,225.75,226.6,28.0998,14868660,223.808,210.061526315789,210.061526315789,5.76158247679749,3.47675725880106,88.58448407868678,215.123268747463,219.791011719045,1.87,0,0
2010-03-15,225.38,225.5,220.25,223.84,27.7575,17625013,224.76,210.75045,210.75045,5.86666508191263,3.95473882342337,77.83863394527529,216.75679444219003,221.363809375236,1.22,-1,0
2010-03-16,224.18,224.98,222.51,224.45,27.8329,15960948,225.046,211.40280952380903,211.40280952380903,5.93079914481584,4.34995088770187,78.460538026092,216.75679444219003,221.363809375236,0.34000000000000297,0,0
2010-03-17,224.9,226.45,223.27,224.12,27.7921,16105571,224.902,212.389476190476,211.98086363636398,5.887134389029829,4.65738758796746,77.1984082485705,216.75679444219003,221.363809375236,0.45000000000001705,0,-1
2010-03-18,224.1,225.0,222.61,224.65,27.8579,12218159,224.732,213.44185714285703,212.531695652174,5.82811346197207,4.89153276276838,77.8156372204139,216.75679444219003,221.363809375236,0.02000000000001,0,0
2010-03-19,224.79,225.24,221.23,222.2499,27.5604,19980164,223.86198,214.361947619048,212.93662083333302,5.52399377881318,5.01802496597734,68.7408918025217,216.75679444219003,221.363809375236,0.139999999999986,0,0
2010-03-22,220.47,226.0,220.15,224.75,27.8704,16300662,224.04398,215.46099523809502,213.409156,5.42221005236317,5.098861983254509,72.3571771312346,216.75679444219003,221.363809375236,1.7799,0,0
2010-03-23,225.64,228.78,224.1,228.36,28.3179,21515311,224.82598,216.791661904762,213.984188461538,5.56865060796659,5.19281970819692,76.5718066983475,216.75679444219003,221.363809375236,0.889999999999986,0,1
2010-03-24,227.64,230.2,227.51,229.37,28.4431,21367176,225.87598,218.33028095238097,214.55403333333302,5.700492631781629,5.29435429291387,77.6007905624335,218.151022663544,222.18391363589,0.720000000000027,0,0
2010-03-25,230.92,230.97,226.25,226.65,28.1059,19402382,226.27598,219.56809047619,214.98603214285703,5.52184472871039,5.33985238007317,68.8328475987248,219.548131256483,223.622130908712,1.54999999999998,0,0
2010-03-26,228.95,231.95,228.55,230.9,28.63300000000001,22888305,228.006,220.94428095238098,215.534789655172,5.657982756461308,5.4034784553508,73.8118380916227,219.548131256483,223.622130908712,2.29999999999998,0,0
2010-03-29,233.0,233.8699,231.62,232.39,28.8176,19312255,229.534,222.266661904762,216.09663,5.81902556730367,5.48658787774137,75.30152930811741,220.501856795246,224.498563781575,2.09999999999999,0,0
2010-03-30,236.6027,237.48,234.25,235.845,29.2463,18832475,231.031,223.545471428571,216.733674193548,6.15449756363537,5.62016981492017,78.3735426006734,222.322233817996,226.37788102526002,4.21270000000001,0,0
2010-03-31,235.49,236.61,234.46,235.0,29.1414,15380651,232.157,224.790709523809,217.304496875,6.27978761701621,5.75209337533938,75.88745539337421,225.48198561599705,229.50830482020802,0.35499999999999,0,0
2010-04-01,237.49,238.73,232.75,235.97,29.2617,21540857,234.021,226.059280952381,217.87011818181801,6.38376372588138,5.87842744544778,76.7973360646269,225.48198561599705,229.50830482020802,2.49000000000001,-1,0
2010-04-05,234.975,238.51,234.77,238.49,29.5741,24446617,235.539,227.382138095238,218.476585294118,6.5935026860933315,6.02144249357689,79.0130062711463,225.589963943504,229.604515084933,0.995000000000004,0,0
2010-04-06,238.2,240.24,237.0,239.54,29.7042,15964884,236.969,228.362614285714,219.07839714285703,6.76644913428112,6.1704438217177415,79.8753283635137,228.224412394226,232.275612067947,0.29000000000002,0,0
2010-04-07,239.72,241.92,238.6601,240.6,29.836,22446433,237.92,229.387376190476,219.676219444444,6.909396361387991,6.31823432965179,80.7358662857343,229.51503323931198,233.596489654357,0.18000000000000702,0,0
2010-04-08,240.44,241.54,238.04,239.95,29.7552,20463803,238.91,230.19356666666698,220.224159459459,6.89080064061548,6.43274759184453,78.5186591878302,230.783390657166,234.86722172348598,0.15999999999999698,-1,-1
2010-04-09,241.43,241.89,240.46,241.79,29.9834,11935092,240.074,231.000709523809,220.791681578947,6.94448432786646,6.53509493904891,80.178143771333,230.783390657166,234.86722172348598,1.48000000000002,0,0
2010-04-12,242.2,243.07,241.81,242.29,30.0453,11900548,240.834,231.800233333333,221.342920512821,6.9472908141415,6.617534114067429,80.6163556385193,232.63058027232898,236.699021903031,0.4099999999999969,0,0
2010-04-13,241.86,242.8,241.11,242.43,30.0628,10936075,241.412,232.55404285714297,221.8700975,6.881486314053428,6.670324554064631,80.7447164475815,233.79273801984797,237.833217522425,0.429999999999978,0,0
2010-04-14,245.28,245.81,244.07,245.69,30.4669,14431222,242.43,233.59451904761903,222.451070731707,7.011565565391178,6.7385727563299405,83.4869181389252,234.40743379542005,238.35757401793998,2.8499999999999903,0,0
2010-04-15,245.78,249.03,245.51,248.92,30.8677,13456560,244.224,234.759757142857,223.081283333333,7.291239445323732,6.8491060941287,85.6651853903424,237.619941151485,241.41805921435198,0.090000000000003,0,0
2010-04-16,248.57,251.14,244.55,247.4,30.6789,26805138,245.346,235.86832857142798,223.646834883721,7.30601254845806,6.94048738499457,80.297224866457,240.76883657909698,244.446447371481,0.349999999999994,0,0
2010-04-19,247.03,247.89,241.77,247.07,30.638,20247213,246.302,236.935947619048,224.179179545455,7.2080027284241615,6.993990453680492,79.13779644296099,240.76883657909698,244.446447371481,0.370000000000005,0,-1
2010-04-20,248.54,249.25,242.955,244.59,30.3303,26368711,246.734,237.999761904762,224.63275333333303,6.851237168814441,6.96543979670728,70.8574014735723,240.76883657909698,244.446447371481,1.47,0,0
2010-04-21,258.805,260.25,255.73,259.22,32.1448,35085400,249.44,239.64119047619,225.38465,7.660708742694969,7.10449358590482,82.49408532590779,240.76883657909698,244.446447371481,14.215,0,0
